Do you love $fruit?	Mahilig ka ba sa $fruit?
What is your favorite $favorite?	Ano ang paborito mong $favorite?
I bought $fruit from the market.	Bumili ako ng $fruit sa palengke.
I don't want to eat $fruit.	Ayaw kong kumain ng $fruit.
I gave $fruit to $name.	Binigyan ko si $name ng $fruit.
The $fruit got rotten.	Nabulok ang $fruit.
Last $day, $who bought $fruit from the store.	Noong $day, bumili $who ng $fruit sa tindahan.
$who went to $place yesterday.	Nagpunta $who sa $place kana-on.
$who brought some $fruit inside the $building.	$who ay nagdala ng ilang $fruit sa look ng $building.


